place_id,name,category,target_layer,display_layer,qgis_geometry,semantic_geometry,geometry_level,x,y,confidence,version,source_map,source_stage,reference_logic,notes
jingchengtu_windows_ocr_054,相,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13377037.401,3537366.868,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_7; kind=word,"{""bbox_pixel"":[691.67,203,705,216],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_055,令,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13377234.001,3537377.580,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_7; kind=word,"{""bbox_pixel"":[765.33,203,774.33,211.67],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_056,毛万坊俯方片,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13376967.043,3536752.253,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_7; kind=line,"{""bbox_pixel"":[633.67,272,737.33,284],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_057,毛,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13376841.132,3536747.392,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_7; kind=word,"{""bbox_pixel"":[633.67,275,645.67,283.33],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_058,万,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13376922.244,3536743.755,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_7; kind=word,"{""bbox_pixel"":[665,275,673.67,283.33],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_059,坊,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13377011.157,3536748.788,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_7; kind=word,"{""bbox_pixel"":[696.33,273,707,283.33],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_060,俯,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13377038.856,3536753.543,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_7; kind=word,"{""bbox_pixel"":[706.67,272,716.67,283],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_061,方,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13377071.603,3536743.057,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_7; kind=word,"{""bbox_pixel"":[719.67,273,728,284],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_062,片,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13377096.371,3536744.968,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_7; kind=word,"{""bbox_pixel"":[728.33,272.33,737.33,284],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
jingchengtu_windows_ocr_063,待孝閤曉六三封玉壽白瑞太五真,ocr_text,places_ocr_text,京城图_OCR文字,Polygon,point,symbolic,13375705.599,3535123.829,medium,jingchengtu_windows_ocr_raw,jingchengtu_windows_ocr,windows_ocr_tiles,Windows OCR tiled extraction from jingchengtu_windows_ocr; tile=tile_9; kind=line,"{""bbox_pixel"":[159.33,453,359.33,476.67],""orientation"":""unknown"",""notes"":""raw_ocr_asset""}"
