gazetteer_name,place_type,source,match_status,match_method,match_score,osm_name,osm_type,osm_id,osm_class,lon,lat
长桥,bridge,regex,review,exact,1.0,长桥,way,538305826,named,120.6252043,31.2617963
钱家小学并入下田村坟堂上的新华小学,education,regex,unmatched,,0,,,,,,
开挖河,waterway,regex,unmatched,,0,,,,,,
组织150名基干民兵参加浏河,waterway,regex,unmatched,,0,,,,,,
境内村,settlement,regex,unmatched,,0,,,,,,
张春桥,bridge,regex,unmatched,,0,,,,,,
境内港,waterway,regex,unmatched,,0,,,,,,
名基干民兵前往东太湖,water,regex,unmatched,,0,,,,,,
名基干民兵参加东太湖,water,regex,unmatched,,0,,,,,,
名基干民兵参加太浦河,waterway,regex,unmatched,,0,,,,,,
马金（根）姐当选长桥,bridge,regex,unmatched,,0,,,,,,
省政府拨款修缮宝带桥,bridge,regex,unmatched,,0,,,,,,
吴县桥,bridge,regex,unmatched,,0,,,,,,
宝尹大队将泥河田夹河溇北潘家桥（竹桥,bridge,regex,unmatched,,0,,,,,,
）改建为石桥,bridge,regex,unmatched,,0,,,,,,
何招根妹当选为中共长桥,bridge,regex,unmatched,,0,,,,,,
境内实行村,settlement,regex,unmatched,,0,,,,,,
设立2个行政村,settlement,regex,unmatched,,0,,,,,,
个村,settlement,regex,unmatched,,0,,,,,,
宝尹大队更名为宝尹村,settlement,regex,unmatched,,0,,,,,,
下辖10个村,settlement,regex,unmatched,,0,,,,,,
宝南大队更名为宝南村,settlement,regex,unmatched,,0,,,,,,
下辖21个村,settlement,regex,unmatched,,0,,,,,,
中顾委常委陆定一视察宝带桥,bridge,regex,unmatched,,0,,,,,,
宝南村,settlement,regex,unmatched,,0,,,,,,
宝尹村,settlement,regex,unmatched,,0,,,,,,
陈锦男当选长桥,bridge,regex,unmatched,,0,,,,,,
宝南村的钱家村,settlement,regex,unmatched,,0,,,,,,
金家村拆除原简易竹桥,bridge,regex,unmatched,,0,,,,,,
建起石拱桥,bridge,regex,unmatched,,0,,,,,,
宝尹村首建村,settlement,regex,unmatched,,0,,,,,,
实行镇管村,settlement,regex,unmatched,,0,,,,,,
长桥乡改称长桥,bridge,regex,unmatched,,0,,,,,,
夏福元当选长桥,bridge,regex,unmatched,,0,,,,,,
全国政协副主席费孝通考察境内苏嘉公路,road,regex,unmatched,,0,,,,,,
周边农村,settlement,regex,unmatched,,0,,,,,,
宝南村首建村,settlement,regex,unmatched,,0,,,,,,
重修宝带桥,bridge,regex,review,fuzzy,0.75,宝带桥,way,460257370,tourism:attraction,120.649476,31.2587641
保护宝带桥,bridge,regex,review,fuzzy,0.75,宝带桥,way,460257370,tourism:attraction,120.649476,31.2587641
并使运河,waterway,regex,unmatched,,0,,,,,,
开掘澹台湖以北运河,waterway,regex,unmatched,,0,,,,,,
金福珠当选长桥,bridge,regex,unmatched,,0,,,,,,
境内河,waterway,regex,unmatched,,0,,,,,,
宝南小学,education,regex,review,fuzzy,0.75,沧南小学,way,806341952,amenity:school,120.6214017,31.2781
龙南等村高年级小学,education,regex,unmatched,,0,,,,,,
时宝南小学,education,regex,unmatched,,0,,,,,,
新建阳山路（后改迎春南路,road,regex,unmatched,,0,,,,,,
东吴南路至澹台湖主干路,road,regex,unmatched,,0,,,,,,
宝南两村,settlement,regex,unmatched,,0,,,,,,
乡镇财政资助相结合的形式推行农村,settlement,regex,unmatched,,0,,,,,,
确立了村,settlement,regex,unmatched,,0,,,,,,
宝南两村集体经济合作社对本村,settlement,regex,unmatched,,0,,,,,,
碧波小学,education,regex,review,fuzzy,0.75,碧波中学,way,449710711,amenity:school,120.6378519,31.2524076
境内小学撤并至碧波小学,education,regex,unmatched,,0,,,,,,
国家计委主任邹家华为苏南运河,waterway,regex,unmatched,,0,,,,,,
整治苏南运河,waterway,regex,unmatched,,0,,,,,,
并立碑于宝带桥,bridge,regex,unmatched,,0,,,,,,
境内进行老村,settlement,regex,unmatched,,0,,,,,,
搬迁至朱塔浜,waterway,regex,unmatched,,0,,,,,,
（2004年12月更名为宝尹花园,residential,regex,unmatched,,0,,,,,,
宝尹村港南浜老村,settlement,regex,unmatched,,0,,,,,,
户居民搬迁至朱塔浜,waterway,regex,unmatched,,0,,,,,,
苏（苏州）嘉（嘉兴）公路,road,regex,unmatched,,0,,,,,,
宝带桥西侧公路桥,bridge,regex,unmatched,,0,,,,,,
户村民搬迁至朱塔浜,waterway,regex,unmatched,,0,,,,,,
